country,customer_ID,invoice_number,invoice_date,due_date,invoice_amount_usd,disputed,dispute_lost,settled_date,days_to_settle,days_late
China,0379-NEVHP,611365,2021-01-02,2021-02-01,5594,0,0,2021-01-15,13,0
France,2621-XCLEH,6482427308,2020-01-13,2020-02-12,8099,1,0,2020-03-14,61,31
China,2820-XGXSB,9231909,2021-07-03,2021-08-02,6588,0,0,2021-07-08,5,0
France,9322-YCTQO,9888306,2021-02-10,2021-03-12,10592,0,0,2021-03-17,35,5
Russia,6627-ELFBK,15752855,2020-10-25,2020-11-24,7227,1,0,2020-11-28,34,4
Russia,5148-SYKLB,18104516,2020-01-27,2020-02-26,9400,1,0,2020-02-22,26,0
Spain,8690-EEBEO,23864272,2021-08-13,2021-09-12,7469,0,0,2021-09-09,27,0
United States,4460-ZXNDN,27545037,2020-12-16,2021-01-15,7506,0,0,2021-01-12,27,0
United States,3831-FXWYK,28049695,2020-05-14,2020-06-13,8007,1,0,2020-07-01,48,18
Spain,7654-DOLHO,32277701,2021-07-01,2021-07-31,4833,0,0,2021-07-26,25,0
United States,3993-QUNVJ,35868002,2020-03-31,2020-04-30,7533,0,0,2020-04-16,16,0
France,5284-DJOZO,36478577,2021-08-07,2021-09-06,7335,0,0,2021-08-15,8,0
Russia,5924-UOPGH,36620839,2021-05-08,2021-06-07,9008,1,0,2021-06-09,32,2
France,9117-LYRCE,41324194,2020-10-21,2020-11-20,5717,0,0,2020-11-30,40,10
Russia,7695-NKUXM,42511106,2020-11-07,2020-12-07,5002,0,0,2020-11-18,11,0
China,8820-BLYDZ,46372811,2021-02-21,2021-03-23,6196,0,0,2021-02-28,7,0
France,8976-AMJEO,46937392,2021-05-16,2021-06-15,6988,0,0,2021-06-04,19,0
Russia,5148-SYKLB,49331333,2021-05-29,2021-06-28,6880,1,0,2021-07-10,42,12
Russia,3568-JJMFW,52765186,2021-10-20,2021-11-19,9623,1,0,2021-11-09,20,0
Russia,5613-UHVMG,55416013,2020-11-30,2020-12-30,4201,1,0,2021-01-16,47,17
France,6833-ETVHD,57081728,2020-11-04,2020-12-04,8665,0,0,2020-11-29,25,0
United States,7758-WKLVM,57781566,2020-06-24,2020-07-24,7149,0,0,2020-08-07,44,14
Russia,6004-KITZM,58393139,2021-01-06,2021-02-05,8816,0,0,2021-01-29,23,0
China,9841-XLGBV,72380981,2021-02-16,2021-03-18,2644,0,0,2021-03-06,18,0
Spain,8690-EEBEO,75181247,2020-02-18,2020-03-19,8333,0,0,2020-03-30,41,11
China,8156-PCYBM,81932735,2020-01-24,2020-02-23,7270,0,0,2020-03-03,39,9
Russia,7946-HJDUR,86171934,2021-05-29,2021-06-28,4169,0,0,2021-06-22,24,0
United States,3831-FXWYK,93006859,2020-12-24,2021-01-23,2446,0,0,2021-01-31,38,8
France,3448-OWJOT,1297791719,2020-01-15,2020-02-14,4864,1,0,2020-02-16,32,2
Russia,8887-NCUZC,101415601,2020-05-31,2020-06-30,4007,0,0,2020-07-04,34,4
Spain,9286-VLKMI,101747306,2021-05-27,2021-06-26,5819,0,0,2021-05-29,2,0
France,6833-ETVHD,103483331,2020-07-27,2020-08-26,7213,0,0,2020-08-18,22,0
China,6160-HCSFI,104628267,2020-01-13,2020-02-12,7272,0,0,2020-02-04,22,0
China,1080-NDGAE,106360977,2020-02-19,2020-03-20,9348,1,0,2020-03-26,36,6
Spain,6296-UKEUZ,106486147,2021-09-21,2021-10-21,4655,0,0,2021-09-25,4,0
United States,6831-FIODB,110122785,2020-10-23,2020-11-22,3258,0,0,2020-11-30,38,8
Spain,6296-UKEUZ,120364375,2021-04-23,2021-05-23,3463,0,0,2021-04-24,1,0
Russia,5148-SYKLB,121797094,2020-09-28,2020-10-28,8915,0,0,2020-10-30,32,2
China,0379-NEVHP,122662308,2021-08-05,2021-09-04,4364,0,0,2021-08-21,16,0
United States,7758-WKLVM,123645023,2020-12-22,2021-01-21,4436,0,0,2021-01-24,33,3
United States,3993-QUNVJ,131216793,2021-02-01,2021-03-03,5665,0,0,2021-02-05,4,0
China,9174-IYKOC,135429278,2020-08-02,2020-09-01,5820,0,0,2020-08-24,22,0
China,2676-DZINU,145315244,2021-08-19,2021-09-18,8305,0,0,2021-09-06,18,0
China,9014-WENVB,152050637,2021-02-13,2021-03-15,6003,0,0,2021-03-11,26,0
France,6833-ETVHD,152808559,2020-09-11,2020-10-11,5901,0,0,2020-09-29,18,0
France,1447-YZKCL,173814675,2021-04-27,2021-05-27,6685,0,0,2021-05-27,30,0
Russia,8364-UWVLM,176356154,2020-08-20,2020-09-19,7883,1,0,2020-10-03,44,14
United States,9323-NDIOV,176953642,2021-09-10,2021-10-10,6500,0,0,2021-10-17,37,7
China,5920-DPXLN,176959210,2020-08-30,2020-09-29,5718,0,0,2020-09-19,20,0
China,6708-DPYTF,180192586,2020-08-02,2020-09-01,7465,0,0,2020-09-18,47,17
China,9014-WENVB,186123387,2020-06-09,2020-07-09,5985,0,0,2020-07-08,29,0
France,9771-QTLGZ,1920990033,2020-01-20,2020-02-19,5651,1,0,2020-02-15,26,0
China,2125-HJDLA,189882917,2020-09-03,2020-10-03,5144,0,0,2020-10-17,44,14
United States,5592-UQXSS,190687025,2021-07-15,2021-08-14,2843,0,0,2021-08-02,18,0
France,5573-KSOIA,9247964767,2020-01-26,2020-02-25,9851,1,1,2020-03-15,49,19
Spain,6177-VTITE,195359114,2020-08-29,2020-09-28,5626,1,1,2020-09-21,23,0
China,5529-TBPGK,202519703,2021-02-10,2021-03-12,7726,0,0,2021-03-13,31,1
France,4640-FGEJI,203036054,2020-09-23,2020-10-23,6460,0,0,2020-10-15,22,0
France,5284-DJOZO,204757285,2020-01-13,2020-02-12,5444,0,0,2020-01-27,14,0
Spain,0688-XNJRO,206372278,2021-08-14,2021-09-13,4904,0,0,2021-09-21,38,8
France,3448-OWJOT,5267406931,2020-01-30,2020-02-29,8522,1,0,2020-03-11,41,11
China,8820-BLYDZ,213324193,2020-10-13,2020-11-12,6612,0,0,2020-10-22,9,0
